cod_ibge;municipio;uf;local_mapa;latitude;longitude
5106182;Nova Lacerda;MT;Nova Lacerda, MT, Brasil;-14,4727;-59,6001
5108857;Nova Marilândia;MT;Nova Marilândia, MT, Brasil;-14,3568;-56,9696
5108907;Nova Maringá;MT;Nova Maringá, MT, Brasil;-13,0136;-57,0908
5108956;Nova Monte Verde;MT;Nova Monte Verde, MT, Brasil;-9,99998;-57,5261
5106224;Nova Mutum;MT;Nova Mutum, MT, Brasil;-13,8374;-56,0743
5106174;Nova Nazaré;MT;Nova Nazaré, MT, Brasil;-13,9486;-51,8002
5106232;Nova Olímpia;MT;Nova Olímpia, MT, Brasil;-14,7889;-57,2886
5106190;Nova Santa Helena;MT;Nova Santa Helena, MT, Brasil;-10,8651;-55,1872
5106240;Nova Ubiratã;MT;Nova Ubiratã, MT, Brasil;-12,9834;-55,2556
5106257;Nova Xavantina;MT;Nova Xavantina, MT, Brasil;-14,6771;-52,3502
5106273;Novo Horizonte do Norte;MT;Novo Horizonte do Norte, MT, Brasil;-11,4089;-57,3488
5106265;Novo Mundo;MT;Novo Mundo, MT, Brasil;-9,95616;-55,2029
5106315;Novo Santo Antônio;MT;Novo Santo Antônio, MT, Brasil;-12,2875;-50,9686
5106281;Novo São Joaquim;MT;Novo São Joaquim, MT, Brasil;-14,9054;-53,0194
5106307;Paranatinga;MT;Paranatinga, MT, Brasil;-14,4265;-54,0524
5106299;Paranaíta;MT;Paranaíta, MT, Brasil;-9,65835;-56,4786
5106372;Pedra Preta;MT;Pedra Preta, MT, Brasil;-16,6245;-54,4722
5106422;Peixoto de Azevedo;MT;Peixoto de Azevedo, MT, Brasil;-10,2262;-54,9794
5106455;Planalto da Serra;MT;Planalto da Serra, MT, Brasil;-14,6518;-54,7819
5106505;Poconé;MT;Poconé, MT, Brasil;-16,266;-56,6261
5106653;Pontal do Araguaia;MT;Pontal do Araguaia, MT, Brasil;-15,9274;-52,3273
5106703;Ponte Branca;MT;Ponte Branca, MT, Brasil;-16,7584;-52,8369
5106752;Pontes e Lacerda;MT;Pontes e Lacerda, MT, Brasil;-15,2219;-59,3435
5106778;Porto Alegre do Norte;MT;Porto Alegre do Norte, MT, Brasil;-10,8761;-51,6357
5106828;Porto Esperidião;MT;Porto Esperidião, MT, Brasil;-15,857;-58,4619
5106851;Porto Estrela;MT;Porto Estrela, MT, Brasil;-15,3235;-57,2204
5106802;Porto dos Gaúchos;MT;Porto dos Gaúchos, MT, Brasil;-11,533;-57,4132
5107008;Poxoréu;MT;Poxoréu, MT, Brasil;-15,8299;-54,4208
5107040;Primavera do Leste;MT;Primavera do Leste, MT, Brasil;-15,544;-54,2811
5107065;Querência;MT;Querência, MT, Brasil;-12,6093;-52,1821
5107156;Reserva do Cabaçal;MT;Reserva do Cabaçal, MT, Brasil;-15,0743;-58,4585
5107180;Ribeirão Cascalheira;MT;Ribeirão Cascalheira, MT, Brasil;-12,9367;-51,8244
5107198;Ribeirãozinho;MT;Ribeirãozinho, MT, Brasil;-16,4856;-52,6924
5107206;Rio Branco;MT;Rio Branco, MT, Brasil;-15,2483;-58,1259
5107578;Rondolândia;MT;Rondolândia, MT, Brasil;-10,8376;-61,4697
5107602;Rondonópolis;MT;Rondonópolis, MT, Brasil;-16,4673;-54,6372
5107701;Rosário Oeste;MT;Rosário Oeste, MT, Brasil;-14,8259;-56,4236
5107750;Salto do Céu;MT;Salto do Céu, MT, Brasil;-15,1303;-58,1317
5107248;Santa Carmem;MT;Santa Carmem, MT, Brasil;-11,9125;-55,2263
5107743;Santa Cruz do Xingu;MT;Santa Cruz do Xingu, MT, Brasil;-10,1532;-52,3953
5107768;Santa Rita do Trivelato;MT;Santa Rita do Trivelato, MT, Brasil;-13,8146;-55,2706
5107776;Santa Terezinha;MT;Santa Terezinha, MT, Brasil;-10,4704;-50,514
5107263;Santo Afonso;MT;Santo Afonso, MT, Brasil;-14,4945;-57,0091
5107800;Santo Antônio de Leverger;MT;Santo Antônio de Leverger, MT, Brasil;-15,8632;-56,0788
5107792;Santo Antônio do Leste;MT;Santo Antônio do Leste, MT, Brasil;-14,805;-53,6075
5107875;Sapezal;MT;Sapezal, MT, Brasil;-12,9892;-58,7645
5107883;Serra Nova Dourada;MT;Serra Nova Dourada, MT, Brasil;-12,0896;-51,4025
5107909;Sinop;MT;Sinop, MT, Brasil;-11,8604;-55,5091
5107925;Sorriso;MT;Sorriso, MT, Brasil;-12,5425;-55,7211
5107859;São Félix do Araguaia;MT;São Félix do Araguaia, MT, Brasil;-11,615;-50,6706
5107297;São José do Povo;MT;São José do Povo, MT, Brasil;-16,4549;-54,2487
5107305;São José do Rio Claro;MT;São José do Rio Claro, MT, Brasil;-13,4398;-56,7218
5107354;São José do Xingu;MT;São José do Xingu, MT, Brasil;-10,7982;-52,7486
5107107;São José dos Quatro Marcos;MT;São José dos Quatro Marcos, MT, Brasil;-15,6276;-58,1772
5107404;São Pedro da Cipa;MT;São Pedro da Cipa, MT, Brasil;-16,0109;-54,9176
5107941;Tabaporã;MT;Tabaporã, MT, Brasil;-11,3007;-56,8312
5107958;Tangará da Serra;MT;Tangará da Serra, MT, Brasil;-14,6229;-57,4933
5108006;Tapurah;MT;Tapurah, MT, Brasil;-12,695;-56,5178
5108055;Terra Nova do Norte;MT;Terra Nova do Norte, MT, Brasil;-10,517;-55,231
5108105;Tesouro;MT;Tesouro, MT, Brasil;-16,0809;-53,559
5108204;Torixoréu;MT;Torixoréu, MT, Brasil;-16,2006;-52,5571
5108303;União do Sul;MT;União do Sul, MT, Brasil;-11,5308;-54,3616
5108352;Vale de São Domingos;MT;Vale de São Domingos, MT, Brasil;-15,286;-59,0683
5108501;Vera;MT;Vera, MT, Brasil;-12,3017;-55,3045
5105507;Vila Bela da Santíssima Trindade;MT;Vila Bela da Santíssima Trindade, MT, Brasil;-15,0068;-59,9504
5108600;Vila Rica;MT;Vila Rica, MT, Brasil;-10,0137;-51,1186
5108402;Várzea Grande;MT;Várzea Grande, MT, Brasil;-15,6458;-56,1322
5100201;Água Boa;MT;Água Boa, MT, Brasil;-14,051;-52,1601
1100015;Alta Floresta D'Oeste;RO;Alta Floresta D'Oeste, RO, Brasil;-11,9283;-61,9953
1100379;Alto Alegre dos Parecis;RO;Alto Alegre dos Parecis, RO, Brasil;-12,132;-61,835
1100403;Alto Paraíso;RO;Alto Paraíso, RO, Brasil;-9,71429;-63,3188
1100346;Alvorada D'Oeste;RO;Alvorada D'Oeste, RO, Brasil;-11,3463;-62,2847
1100023;Ariquemes;RO;Ariquemes, RO, Brasil;-9,90571;-63,0325
1100452;Buritis;RO;Buritis, RO, Brasil;-10,1943;-63,8324
1100031;Cabixi;RO;Cabixi, RO, Brasil;-13,4945;-60,552
1100601;Cacaulândia;RO;Cacaulândia, RO, Brasil;-10,349;-62,9043
1100049;Cacoal;RO;Cacoal, RO, Brasil;-11,4343;-61,4562
1100700;Campo Novo de Rondônia;RO;Campo Novo de Rondônia, RO, Brasil;-10,5712;-63,6266
1100809;Candeias do Jamari;RO;Candeias do Jamari, RO, Brasil;-8,7907;-63,7005
1100908;Castanheiras;RO;Castanheiras, RO, Brasil;-11,4253;-61,9482
1100056;Cerejeiras;RO;Cerejeiras, RO, Brasil;-13,187;-60,8168
1100924;Chupinguaia;RO;Chupinguaia, RO, Brasil;-12,5611;-60,8877
1100064;Colorado do Oeste;RO;Colorado do Oeste, RO, Brasil;-13,1174;-60,5454
1100072;Corumbiara;RO;Corumbiara, RO, Brasil;-12,9551;-60,8947
1100080;Costa Marques;RO;Costa Marques, RO, Brasil;-12,4367;-64,228
1100940;Cujubim;RO;Cujubim, RO, Brasil;-9,36065;-62,5846
1100098;Espigão D'Oeste;RO;Espigão D'Oeste, RO, Brasil;-11,5266;-61,0252
1101005;Governador Jorge Teixeira;RO;Governador Jorge Teixeira, RO, Brasil;-10,61;-62,7371
1100106;Guajará-Mirim;RO;Guajará-Mirim, RO, Brasil;-10,7889;-65,3296
1101104;Itapuã do Oeste;RO;Itapuã do Oeste, RO, Brasil;-9,19687;-63,1809
1100114;Jaru;RO;Jaru, RO, Brasil;-10,4318;-62,4788
1100122;Ji-Paraná;RO;Ji-Paraná, RO, Brasil;-10,8777;-61,9322
1100130;Machadinho D'Oeste;RO;Machadinho D'Oeste, RO, Brasil;-9,44363;-61,9818
1101203;Ministro Andreazza;RO;Ministro Andreazza, RO, Brasil;-11,196;-61,5174
1101302;Mirante da Serra;RO;Mirante da Serra, RO, Brasil;-11,029;-62,6696
1101401;Monte Negro;RO;Monte Negro, RO, Brasil;-10,2458;-63,29
1100148;Nova Brasilândia D'Oeste;RO;Nova Brasilândia D'Oeste, RO, Brasil;-11,7247;-62,3127
1100338;Nova Mamoré;RO;Nova Mamoré, RO, Brasil;-10,4077;-65,3346
1101435;Nova União;RO;Nova União, RO, Brasil;-10,9068;-62,5564
1100502;Novo Horizonte do Oeste;RO;Novo Horizonte do Oeste, RO, Brasil;-11,6961;-61,9951
1100155;Ouro Preto do Oeste;RO;Ouro Preto do Oeste, RO, Brasil;-10,7167;-62,2565
1101450;Parecis;RO;Parecis, RO, Brasil;-12,1754;-61,6032
1100189;Pimenta Bueno;RO;Pimenta Bueno, RO, Brasil;-11,672;-61,198
1101468;Pimenteiras do Oeste;RO;Pimenteiras do Oeste, RO, Brasil;-13,4823;-61,0471
1100205;Porto Velho;RO;Porto Velho, RO, Brasil;-8,76077;-63,8999
1100254;Presidente Médici;RO;Presidente Médici, RO, Brasil;-11,169;-61,8986
1101476;Primavera de Rondônia;RO;Primavera de Rondônia, RO, Brasil;-11,8295;-61,3153
1100262;Rio Crespo;RO;Rio Crespo, RO, Brasil;-9,69965;-62,9011
1100288;Rolim de Moura;RO;Rolim de Moura, RO, Brasil;-11,7271;-61,7714
1100296;Santa Luzia D'Oeste;RO;Santa Luzia D'Oeste, RO, Brasil;-11,9074;-61,7777
1101500;Seringueiras;RO;Seringueiras, RO, Brasil;-11,8055;-63,0182
1101484;São Felipe D'Oeste;RO;São Felipe D'Oeste, RO, Brasil;-11,9023;-61,5026
1101492;São Francisco do Guaporé;RO;São Francisco do Guaporé, RO, Brasil;-12,052;-63,568
1100320;São Miguel do Guaporé;RO;São Miguel do Guaporé, RO, Brasil;-11,6953;-62,7192
1101559;Teixeirópolis;RO;Teixeirópolis, RO, Brasil;-10,9056;-62,242
1101609;Theobroma;RO;Theobroma, RO, Brasil;-10,2483;-62,3538
1101708;Urupá;RO;Urupá, RO, Brasil;-11,1261;-62,3639
1101757;Vale do Anari;RO;Vale do Anari, RO, Brasil;-9,86215;-62,1876
1101807;Vale do Paraíso;RO;Vale do Paraíso, RO, Brasil;-10,4465;-62,1352
1100304;Vilhena;RO;Vilhena, RO, Brasil;-12,7502;-60,1488
