data;cod_ibge;densidade
2026-07-01;5108303;20,69
2026-07-01;5108352;2,86
2026-07-01;5108402;23,72
2026-07-01;5108501;30,74
2026-07-01;5108600;25,55
2026-07-01;5108808;35,87
2026-07-01;5108857;19,93
2026-07-01;5108907;14,71
2026-07-01;5108956;18,99
2026-06-01;1100015;33,84
2026-06-01;1100023;24,67
2026-06-01;1100031;47,46
2026-06-01;1100049;31,63
2026-06-01;1100056;14,23
2026-06-01;1100064;33,25
2026-06-01;1100072;23,72
2026-06-01;1100080;18,22
2026-06-01;1100098;13,0
2026-06-01;1100106;21,04
2026-06-01;1100114;35,95
2026-06-01;1100122;37,02
2026-06-01;1100130;32,08
2026-06-01;1100148;62,61
2026-06-01;1100155;26,81
2026-06-01;1100189;23,44
2026-06-01;1100205;31,48
2026-06-01;1100254;48,74
2026-06-01;1100262;4,01
2026-06-01;1100288;33,7
2026-06-01;1100296;14,15
2026-06-01;1100304;23,67
2026-06-01;1100320;21,76
2026-06-01;1100338;19,15
2026-06-01;1100346;64,91
2026-06-01;1100379;25,3
2026-06-01;1100403;20,57
2026-06-01;1100452;34,33
2026-06-01;1100502;59,82
2026-06-01;1100601;37,93
2026-06-01;1100700;26,78
2026-06-01;1100809;16,81
2026-06-01;1100908;41,42
2026-06-01;1100924;12,47
2026-06-01;1100940;21,3
2026-06-01;1101005;12,87
2026-06-01;1101104;21,72
2026-06-01;1101203;35,1
2026-06-01;1101302;37,94
2026-06-01;1101401;18,95
2026-06-01;1101435;11,51
2026-06-01;1101450;12,9
2026-06-01;1101468;19,92
2026-06-01;1101476;27,51
2026-06-01;1101484;51,56
2026-06-01;1101492;30,06
2026-06-01;1101500;42,24
2026-06-01;1101559;83,03
2026-06-01;1101609;20,9
2026-06-01;1101708;35,48
2026-06-01;1101757;27,73
2026-06-01;1101807;22,36
2026-06-01;5100102;24,37
2026-06-01;5100201;12,36
2026-06-01;5100250;21,13
2026-06-01;5100300;6,49
2026-06-01;5100359;13,19
2026-06-01;5100409;12,83
2026-06-01;5100508;6,76
2026-06-01;5100607;2,01
2026-06-01;5100805;12,6
2026-06-01;5101001;19,2
2026-06-01;5101209;22,17
2026-06-01;5101258;17,57
2026-06-01;5101308;23,92
2026-06-01;5101407;18,92
2026-06-01;5101605;6,96
2026-06-01;5101704;33,13
2026-06-01;5101803;23,64
2026-06-01;5101837;10,29
2026-06-01;5101852;13,04
2026-06-01;5101902;17,68
2026-06-01;5102504;19,02
2026-06-01;5102603;7,74
2026-06-01;5102637;22,91
2026-06-01;5102678;26,81
2026-06-01;5102686;26,58
2026-06-01;5102694;22,44
2026-06-01;5102702;31,29
2026-06-01;5102793;17,22
2026-06-01;5102850;7,87
2026-06-01;5103007;37,51
2026-06-01;5103056;36,54
2026-06-01;5103106;37,38
2026-06-01;5103205;30,53
2026-06-01;5103254;18,46
2026-06-01;5103304;13,79
2026-06-01;5103353;17,9
2026-06-01;5103361;15,89
2026-06-01;5103379;20,01
2026-06-01;5103403;34,72
2026-06-01;5103437;6,52
2026-06-01;5103452;13,3
2026-06-01;5103502;28,83
2026-06-01;5103601;17,35
2026-06-01;5103700;27,93
2026-06-01;5103809;3,14
2026-06-01;5103858;27,81
2026-06-01;5103908;2,34
2026-06-01;5103957;32,07
2026-06-01;5104104;22,2
2026-06-01;5104203;16,47
2026-06-01;5104500;10,04
2026-06-01;5104526;15,19
2026-06-01;5104542;10,52
2026-06-01;5104559;40,03
2026-06-01;5104609;20,48
2026-06-01;5104807;27,27
2026-06-01;5104906;13,81
2026-06-01;5105002;9,07
2026-06-01;5105101;18,55
2026-06-01;5105150;11,33
2026-06-01;5105176;17,43
2026-06-01;5105200;24,94
2026-06-01;5105234;15,96
2026-06-01;5105259;23,24
2026-06-01;5105309;9,59
2026-06-01;5105507;19,07
2026-06-01;5105580;4,28
2026-06-01;5105606;19,52
2026-06-01;5105622;14,61
2026-06-01;5105903;20,9
2026-06-01;5106000;20,97
2026-06-01;5106109;20,83
2026-06-01;5106158;25,61
2026-06-01;5106174;19,56
2026-06-01;5106182;16,43
2026-06-01;5106190;29,39
2026-06-01;5106208;21,47
2026-06-01;5106216;28,93
2026-06-01;5106224;38,05
2026-06-01;5106232;31,47
2026-06-01;5106240;25,65
2026-06-01;5106257;6,39
2026-06-01;5106265;13,88
2026-06-01;5106273;7,74
2026-06-01;5106281;4,81
2026-06-01;5106299;15,56
2026-06-01;5106307;19,18
2026-06-01;5106315;12,44
2026-06-01;5106372;13,63
2026-06-01;5106422;21,5
2026-06-01;5106455;21,6
2026-06-01;5106505;20,92
2026-06-01;5106653;9,46
2026-06-01;5106703;20,83
2026-06-01;5106752;17,96
2026-06-01;5106778;20,79
2026-06-01;5106802;13,51
2026-06-01;5106828;16,84
2026-06-01;5106851;19,55
2026-06-01;5107008;9,53
2026-06-01;5107040;32,22
2026-06-01;5107065;26,53
2026-06-01;5107107;27,67
2026-06-01;5107156;9,5
2026-06-01;5107180;12,7
2026-06-01;5107198;23,89
2026-06-01;5107206;19,41
2026-06-01;5107248;43,71
2026-06-01;5107263;27,69
2026-06-01;5107297;30,85
2026-06-01;5107305;31,47
2026-06-01;5107354;15,7
2026-06-01;5107404;10,33
2026-06-01;5107578;12,22
2026-06-01;5107602;34,75
2026-06-01;5107701;17,35
2026-06-01;5107743;15,25
2026-06-01;5107750;15,86
2026-06-01;5107768;39,9
2026-06-01;5107776;4,96
2026-06-01;5107792;23,54
2026-06-01;5107800;10,34
2026-06-01;5107859;10,59
2026-06-01;5107875;10,76
2026-06-01;5107883;7,57
2026-06-01;5107909;34,82
2026-06-01;5107925;29,4
2026-06-01;5107941;19,67
2026-06-01;5107958;31,09
2026-06-01;5108006;21,86
2026-06-01;5108055;17,07
2026-06-01;5108105;16,49
2026-06-01;5108204;19,02
2026-06-01;5108303;19,67
2026-06-01;5108352;2,8
2026-06-01;5108402;21,44
2026-06-01;5108501;36,0
2026-06-01;5108600;22,1
2026-06-01;5108808;35,55
2026-06-01;5108857;20,4
2026-06-01;5108907;15,39
2026-06-01;5108956;18,1
2026-05-01;1100015;30,0
2026-05-01;1100023;27,67
2026-05-01;1100031;47,51
2026-05-01;1100049;32,61
2026-05-01;1100056;14,98
2026-05-01;1100064;33,29
2026-05-01;1100072;23,8
2026-05-01;1100080;17,99
2026-05-01;1100098;14,0
2026-05-01;1100106;20,04
2026-05-01;1100114;32,32
2026-05-01;1100122;34,9
2026-05-01;1100130;38,47
2026-05-01;1100148;54,23
2026-05-01;1100155;24,56
2026-05-01;1100189;23,74
2026-05-01;1100205;31,47
2026-05-01;1100254;44,66
2026-05-01;1100262;13,17
2026-05-01;1100288;31,04
2026-05-01;1100296;13,35
2026-05-01;1100304;22,92
2026-05-01;1100320;19,87
2026-05-01;1100338;18,61
2026-05-01;1100346;56,25
2026-05-01;1100379;23,33
2026-05-01;1100403;19,72
2026-05-01;1100452;33,8
2026-05-01;1100502;55,54
2026-05-01;1100601;37,05
2026-05-01;1100700;27,1
2026-05-01;1100809;16,66
2026-05-01;1100908;40,81
2026-05-01;1100924;12,29
2026-05-01;1100940;21,48
2026-05-01;1101005;12,53
2026-05-01;1101104;21,78
2026-05-01;1101203;36,51
2026-05-01;1101302;37,36
2026-05-01;1101401;17,31
2026-05-01;1101435;10,59
2026-05-01;1101450;12,26
2026-05-01;1101468;19,36
2026-05-01;1101476;27,6
2026-05-01;1101484;48,48
2026-05-01;1101492;26,45
2026-05-01;1101500;39,45
2026-05-01;1101559;78,99
2026-05-01;1101609;13,95
2026-05-01;1101708;32,7
2026-05-01;1101757;28,56
2026-05-01;1101807;21,89
2026-05-01;5100102;13,82
2026-05-01;5100201;12,39
2026-05-01;5100250;21,12
2026-05-01;5100300;6,75
2026-05-01;5100359;11,05
2026-05-01;5100409;16,34
2026-05-01;5100508;6,83
2026-05-01;5100607;2,02
2026-05-01;5100805;11,43
2026-05-01;5101001;18,9
2026-05-01;5101209;26,58
2026-05-01;5101258;17,03
2026-05-01;5101308;23,73
2026-05-01;5101407;18,56
2026-05-01;5101605;6,95
2026-05-01;5101704;31,08
2026-05-01;5101803;23,47
2026-05-01;5101837;0,34
2026-05-01;5101852;12,54
2026-05-01;5101902;17,53
2026-05-01;5102504;18,75
2026-05-01;5102603;7,49
2026-05-01;5102637;22,51
2026-05-01;5102678;27,29
2026-05-01;5102686;26,37
2026-05-01;5102694;22,06
2026-05-01;5102702;31,21
2026-05-01;5102793;16,14
2026-05-01;5102850;17,86
2026-05-01;5103007;37,32
2026-05-01;5103056;36,57
2026-05-01;5103106;36,66
2026-05-01;5103205;30,28
2026-05-01;5103254;18,11
2026-05-01;5103304;13,74
2026-05-01;5103353;17,66
2026-05-01;5103361;15,56
2026-05-01;5103379;18,63
2026-05-01;5103403;34,96
2026-05-01;5103437;6,6
2026-05-01;5103452;12,82
2026-05-01;5103502;30,47
2026-05-01;5103601;16,84
2026-05-01;5103700;27,66
2026-05-01;5103809;3,14
2026-05-01;5103858;25,15
2026-05-01;5103908;2,36
2026-05-01;5103957;31,69
2026-05-01;5104104;21,63
2026-05-01;5104203;16,56
2026-05-01;5104500;9,85
2026-05-01;5104526;20,8
2026-05-01;5104542;10,32
2026-05-01;5104559;40,22
2026-05-01;5104609;20,31
2026-05-01;5104807;26,99
2026-05-01;5104906;7,77
2026-05-01;5105002;9,26
2026-05-01;5105101;18,34
2026-05-01;5105150;14,69
2026-05-01;5105176;19,28
2026-05-01;5105200;24,48
2026-05-01;5105234;16,09
2026-05-01;5105259;22,94
2026-05-01;5105309;8,83
2026-05-01;5105507;18,92
2026-05-01;5105580;4,04
2026-05-01;5105606;18,17
2026-05-01;5105622;14,52
2026-05-01;5105903;25,59
2026-05-01;5106000;20,8
2026-05-01;5106109;20,24
2026-05-01;5106158;26,58
2026-05-01;5106174;18,1
2026-05-01;5106182;16,09
2026-05-01;5106190;29,25
2026-05-01;5106208;20,36
2026-05-01;5106216;28,68
2026-05-01;5106224;25,9
2026-05-01;5106232;33,22
2026-05-01;5106240;24,39
2026-05-01;5106257;6,3
2026-05-01;5106265;13,38
2026-05-01;5106273;7,68
2026-05-01;5106281;4,77
2026-05-01;5106299;15,37
2026-05-01;5106307;19,18
2026-05-01;5106315;11,22
2026-05-01;5106372;13,17
2026-05-01;5106422;20,62
2026-05-01;5106455;20,76
2026-05-01;5106505;20,87
2026-05-01;5106653;9,41
2026-05-01;5106703;21,35
2026-05-01;5106752;17,15
2026-05-01;5106778;21,01
2026-05-01;5106802;13,09
2026-05-01;5106828;16,61
2026-05-01;5106851;19,26
2026-05-01;5107008;9,41
2026-05-01;5107040;32,24
2026-05-01;5107065;25,95
2026-05-01;5107107;27,5
2026-05-01;5107156;9,5
2026-05-01;5107180;12,19
2026-05-01;5107198;24,22
2026-05-01;5107206;19,3
2026-05-01;5107248;43,52
2026-05-01;5107263;28,89
2026-05-01;5107297;30,96
2026-05-01;5107305;31,64
2026-05-01;5107354;15,43
2026-05-01;5107404;22,24
2026-05-01;5107578;10,8
2026-05-01;5107602;34,98
2026-05-01;5107701;17,89
2026-05-01;5107743;14,84
2026-05-01;5107750;16,0
2026-05-01;5107768;10,44
2026-05-01;5107776;5,23
2026-05-01;5107792;22,6
2026-05-01;5107800;10,05
2026-05-01;5107859;10,57
2026-05-01;5107875;11,48
2026-05-01;5107883;7,47
2026-05-01;5107909;34,63
2026-05-01;5107925;31,2
2026-05-01;5107941;19,01
2026-05-01;5107958;32,45
2026-05-01;5108006;21,46
2026-05-01;5108055;16,71
2026-05-01;5108105;15,84
2026-05-01;5108204;18,64
2026-05-01;5108303;19,62
2026-05-01;5108352;2,7
2026-05-01;5108402;22,54
2026-05-01;5108501;36,01
2026-05-01;5108600;21,49
2026-05-01;5108808;35,22
2026-05-01;5108857;19,83
2026-05-01;5108907;15,21
2026-05-01;5108956;17,83
2026-04-01;1100015;29,91
2026-04-01;1100023;28,98
2026-04-01;1100031;46,24
2026-04-01;1100049;31,41
2026-04-01;1100056;11,98
2026-04-01;1100064;21,26
2026-04-01;1100072;23,05
2026-04-01;1100080;16,14
2026-04-01;1100098;14,13
2026-04-01;1100106;19,22
2026-04-01;1100114;32,22
2026-04-01;1100122;35,63
2026-04-01;1100130;38,06
2026-04-01;1100148;53,86
2026-04-01;1100155;25,03
2026-04-01;1100189;23,48
2026-04-01;1100205;31,43
2026-04-01;1100254;44,6
2026-04-01;1100262;14,07
2026-04-01;1100288;30,26
2026-04-01;1100296;12,94
2026-04-01;1100304;22,45
2026-04-01;1100320;20,04
2026-04-01;1100338;15,78
2026-04-01;1100346;56,23
2026-04-01;1100379;19,16
2026-04-01;1100403;18,37
2026-04-01;1100452;33,17
2026-04-01;1100502;55,51
2026-04-01;1100601;33,29
2026-04-01;1100700;24,97
2026-04-01;1100809;16,95
2026-04-01;1100908;40,9
2026-04-01;1100924;12,18
2026-04-01;1100940;24,56
2026-04-01;1101005;10,43
2026-04-01;1101104;22,02
2026-04-01;1101203;34,7
2026-04-01;1101302;37,71
2026-04-01;1101401;17,0
2026-04-01;1101435;11,66
2026-04-01;1101450;12,17
2026-04-01;1101468;16,89
2026-04-01;1101476;27,14
2026-04-01;1101484;48,43
2026-04-01;1101492;26,46
2026-04-01;1101500;39,38
2026-04-01;1101559;76,33
2026-04-01;1101609;13,81
2026-04-01;1101708;32,86
2026-04-01;1101757;28,3
2026-04-01;1101807;20,25
2026-04-01;5100102;24,41
2026-04-01;5100201;11,4
2026-04-01;5100250;20,71
2026-04-01;5100300;6,78
2026-04-01;5100359;8,18
2026-04-01;5100409;17,18
2026-04-01;5100508;6,71
2026-04-01;5100607;1,99
2026-04-01;5100805;11,87
2026-04-01;5101001;18,85
2026-04-01;5101209;25,58
2026-04-01;5101258;17,05
2026-04-01;5101308;23,6
2026-04-01;5101407;17,25
2026-04-01;5101605;6,59
2026-04-01;5101704;31,82
2026-04-01;5101803;22,92
2026-04-01;5101837;0,36
2026-04-01;5101852;11,4
2026-04-01;5101902;17,41
2026-04-01;5102504;18,55
2026-04-01;5102603;7,32
2026-04-01;5102637;22,91
2026-04-01;5102678;27,63
2026-04-01;5102686;25,08
2026-04-01;5102694;21,91
2026-04-01;5102702;31,38
2026-04-01;5102793;14,46
2026-04-01;5102850;18,29
2026-04-01;5103007;37,21
2026-04-01;5103056;34,2
2026-04-01;5103106;35,92
2026-04-01;5103205;17,66
2026-04-01;5103254;17,92
2026-04-01;5103304;13,84
2026-04-01;5103353;16,87
2026-04-01;5103361;16,1
2026-04-01;5103379;13,5
2026-04-01;5103403;34,71
2026-04-01;5103437;6,3
2026-04-01;5103452;12,69
2026-04-01;5103502;30,35
2026-04-01;5103601;16,98
2026-04-01;5103700;27,01
2026-04-01;5103809;3,08
2026-04-01;5103858;23,88
2026-04-01;5103908;2,09
2026-04-01;5103957;31,62
2026-04-01;5104104;21,43
2026-04-01;5104203;16,22
2026-04-01;5104500;9,99
2026-04-01;5104526;20,51
2026-04-01;5104542;10,28
2026-04-01;5104559;35,84
2026-04-01;5104609;20,11
2026-04-01;5104807;27,12
2026-04-01;5104906;12,94
2026-04-01;5105002;9,02
2026-04-01;5105101;17,74
2026-04-01;5105150;13,92
2026-04-01;5105176;17,55
2026-04-01;5105200;19,66
2026-04-01;5105234;16,11
2026-04-01;5105259;23,07
2026-04-01;5105309;8,45
2026-04-01;5105507;18,95
2026-04-01;5105580;4,01
2026-04-01;5105606;18,52
2026-04-01;5105622;14,18
2026-04-01;5105903;22,73
2026-04-01;5106000;20,95
2026-04-01;5106109;19,72
2026-04-01;5106158;25,65
2026-04-01;5106174;17,11
2026-04-01;5106182;17,18
2026-04-01;5106190;24,79
2026-04-01;5106208;20,1
2026-04-01;5106216;28,24
2026-04-01;5106224;31,66
2026-04-01;5106232;31,7
2026-04-01;5106240;23,84
2026-04-01;5106257;6,58
2026-04-01;5106265;12,47
2026-04-01;5106273;7,5
2026-04-01;5106281;4,63
2026-04-01;5106299;15,09
2026-04-01;5106307;19,68
2026-04-01;5106315;11,27
2026-04-01;5106372;11,27
2026-04-01;5106422;20,6
2026-04-01;5106455;20,7
2026-04-01;5106505;20,34
2026-04-01;5106653;8,57
2026-04-01;5106703;21,73
2026-04-01;5106752;17,47
2026-04-01;5106778;20,74
2026-04-01;5106802;12,29
2026-04-01;5106828;16,74
2026-04-01;5106851;19,04
2026-04-01;5107008;9,43
2026-04-01;5107040;32,1
2026-04-01;5107065;25,05
2026-04-01;5107107;26,83
2026-04-01;5107156;9,36
2026-04-01;5107180;9,0
2026-04-01;5107198;23,42
2026-04-01;5107206;19,21
2026-04-01;5107248;43,3
2026-04-01;5107263;27,36
2026-04-01;5107297;31,08
2026-04-01;5107305;34,01
2026-04-01;5107354;15,26
2026-04-01;5107404;21,86
2026-04-01;5107578;10,38
2026-04-01;5107602;31,83
2026-04-01;5107701;16,92
2026-04-01;5107743;14,57
2026-04-01;5107750;15,72
2026-04-01;5107768;25,03
2026-04-01;5107776;4,2
2026-04-01;5107792;22,13
2026-04-01;5107800;9,58
2026-04-01;5107859;10,33
2026-04-01;5107875;12,14
2026-04-01;5107883;6,96
2026-04-01;5107909;34,23
2026-04-01;5107925;31,42
2026-04-01;5107941;18,91
2026-04-01;5107958;34,4
2026-04-01;5108006;20,78
2026-04-01;5108055;16,03
2026-04-01;5108105;15,84
2026-04-01;5108204;21,24
2026-04-01;5108303;19,8
2026-04-01;5108352;2,59
2026-04-01;5108402;22,41
2026-04-01;5108501;34,61
2026-04-01;5108600;22,11
2026-04-01;5108808;34,98
2026-04-01;5108857;19,86
2026-04-01;5108907;15,55
2026-04-01;5108956;18,05
2026-03-01;1100015;0,08
2026-03-01;1100023;0,01
2026-03-01;1100031;0,02
2026-03-01;1100049;0,3
2026-03-01;1100064;0,03
2026-03-01;1100072;0,03
2026-03-01;1100080;0,03
2026-03-01;1100098;5,1
2026-03-01;1100106;6,94
2026-03-01;1100114;1,6
2026-03-01;1100122;0,03
2026-03-01;1100130;0,02
2026-03-01;1100148;0,02
2026-03-01;1100155;2,11
2026-03-01;1100189;0,02
2026-03-01;1100205;6,16
2026-03-01;1100254;0,01
2026-03-01;1100288;0,1
2026-03-01;1100304;1,63
2026-03-01;1100320;0,02
2026-03-01;1100338;4,24
2026-03-01;1100346;0,04
2026-03-01;1100379;0,01
2026-03-01;1100403;0,03
2026-03-01;1100452;0,0
2026-03-01;1100601;0,12
2026-03-01;1100700;0,05
2026-03-01;1100809;0,62
2026-03-01;1100908;0,03
2026-03-01;1100924;9,7
2026-03-01;1100940;0,05
2026-03-01;1101005;5,04
2026-03-01;1101104;17,72
2026-03-01;1101203;0,05
2026-03-01;1101302;17,88
2026-03-01;1101401;0,02
2026-03-01;1101435;4,43
2026-03-01;1101450;0,02
2026-03-01;1101468;0,09
2026-03-01;1101476;0,03
2026-03-01;1101484;0,02
2026-03-01;1101492;0,05
2026-03-01;1101500;0,02
2026-03-01;1101559;56,69
2026-03-01;1101609;0,07
2026-03-01;1101708;0,14
2026-03-01;1101757;0,04
2026-03-01;1101807;0,06
2026-03-01;5100102;3,92
2026-03-01;5100201;0,83
2026-03-01;5100250;0,02
2026-03-01;5100300;0,17
2026-03-01;5100359;0,02
2026-03-01;5100409;0,02
2026-03-01;5100508;0,03
2026-03-01;5100607;0,02
2026-03-01;5100805;0,08
2026-03-01;5101001;0,2
2026-03-01;5101209;0,1
2026-03-01;5101258;0,01
2026-03-01;5101407;0,3
2026-03-01;5101605;0,59
2026-03-01;5101704;0,02
2026-03-01;5101803;0,32
2026-03-01;5101852;0,11
2026-03-01;5101902;0,06
2026-03-01;5102504;0,02
2026-03-01;5102603;1,95
2026-03-01;5102637;0,01
2026-03-01;5102678;0,25
2026-03-01;5102694;5,12
2026-03-01;5102702;0,08
2026-03-01;5102793;0,01
2026-03-01;5102850;0,01
2026-03-01;5103007;0,23
2026-03-01;5103056;3,6
2026-03-01;5103106;0,97
2026-03-01;5103205;0,02
2026-03-01;5103254;1,58
2026-03-01;5103304;1,33
2026-03-01;5103353;0,33
2026-03-01;5103361;0,31
2026-03-01;5103379;0,05
