cod_ibge;municipio;uf;local_mapa;latitude;longitude;acessos;share_regional;share_grande;delta_regional_pp;lider;share_lider;n_prestadoras;dens_100hab
1100338;Nova Mamoré;RO;Nova Mamoré, RO, Brasil;-10,4077;-65,3346;5366,0;92,1;0,5;62,0;Rolim Net;40,6;15;18,6
1101435;Nova União;RO;Nova União, RO, Brasil;-10,9068;-62,5564;462,0;97,4;1,1;23,7;Jlp Informatica;82,3;6;7,1
1100502;Novo Horizonte do Oeste;RO;Novo Horizonte do Oeste, RO, Brasil;-11,6961;-61,9951;4779,0;98,8;0,4;14,1;Uni Telecom;74,9;7;60,5
1100155;Ouro Preto do Oeste;RO;Ouro Preto do Oeste, RO, Brasil;-10,7167;-62,2565;10001,0;95,1;3,3;57,1;Uni Telecom;80,3;15;25,8
1101450;Parecis;RO;Parecis, RO, Brasil;-12,1754;-61,6032;561,0;88,1;0,9;-4,9;Rolim Net;53,5;10;12,9
1100189;Pimenta Bueno;RO;Pimenta Bueno, RO, Brasil;-11,672;-61,198;9315,0;92,5;3,1;20,2;Net Way Informatica;51,3;20;23,7
1101468;Pimenteiras do Oeste;RO;Pimenteiras do Oeste, RO, Brasil;-13,4823;-61,0471;466,0;76,6;1,1;-6,6;Cpw Internet;63,5;10;20,2
1100205;Porto Velho;RO;Porto Velho, RO, Brasil;-8,76077;-63,8999;164335,0;39,8;57,2;24,6;Oi;38,6;63;31,6
1100254;Presidente Médici;RO;Presidente Médici, RO, Brasil;-11,169;-61,8986;9965,0;98,9;0,3;48,4;Uni Telecom;84,8;12;48,9
1101476;Primavera de Rondônia;RO;Primavera de Rondônia, RO, Brasil;-11,8295;-61,3153;897,0;96,7;0,6;79,3;Uni Telecom;58,5;9;27,5
1100262;Rio Crespo;RO;Rio Crespo, RO, Brasil;-9,69965;-62,9011;482,0;76,6;1,0;76,6;Rios Net Telecom;68,5;9;12,8
1100288;Rolim de Moura;RO;Rolim de Moura, RO, Brasil;-11,7271;-61,7714;21251,0;94,0;5,0;41,6;Uni Telecom;51,4;22;33,6
1100296;Santa Luzia D'Oeste;RO;Santa Luzia D'Oeste, RO, Brasil;-11,9074;-61,7777;1111,0;94,2;1,1;38,6;Rolim Net;58,6;9;14,2
1101500;Seringueiras;RO;Seringueiras, RO, Brasil;-11,8055;-63,0182;5481,0;97,7;0,2;29,9;Uni Telecom;59,3;9;42,2
1101484;São Felipe D'Oeste;RO;São Felipe D'Oeste, RO, Brasil;-11,9023;-61,5026;2881,0;99,4;0,1;80,0;Uni Telecom;85,7;9;51,7
1101492;São Francisco do Guaporé;RO;São Francisco do Guaporé, RO, Brasil;-12,052;-63,568;5286,0;94,5;0,3;24,1;Uni Telecom;65,0;13;30,0
1100320;São Miguel do Guaporé;RO;São Miguel do Guaporé, RO, Brasil;-11,6953;-62,7192;4942,0;96,0;0,4;19,7;Uni Telecom;54,4;11;22,1
1101559;Teixeirópolis;RO;Teixeirópolis, RO, Brasil;-10,9056;-62,242;1081,0;98,1;0,3;92,6;Uni Telecom;63,3;7;24,0
1101609;Theobroma;RO;Theobroma, RO, Brasil;-10,2483;-62,3538;1277,0;83,6;1,3;69,6;Uni Telecom;70,0;9;15,2
1101708;Urupá;RO;Urupá, RO, Brasil;-11,1261;-62,3639;4117,0;99,1;0,3;67,5;Delta-Connex Telecom;56,3;8;36,6
1101757;Vale do Anari;RO;Vale do Anari, RO, Brasil;-9,86215;-62,1876;2283,0;86,6;0,3;22,1;Uni Telecom;68,1;8;27,9
1101807;Vale do Paraíso;RO;Vale do Paraíso, RO, Brasil;-10,4465;-62,1352;1396,0;96,0;1,3;43,5;Uni Telecom;52,9;8;20,7
1100304;Vilhena;RO;Vilhena, RO, Brasil;-12,7502;-60,1488;27206,0;70,0;26,8;26,1;Internet 5.8;33,1;33;24,6
